Day,Susceptible,Exposed,Infected,Recovered,Deaths
1,145910426,999,555,35,10
2,145910316,1010,604,74,21
3,145910196,1029,650,117,33
4,145910067,1056,693,163,46
5,145909929,1089,736,212,59
6,145909782,1128,778,264,73
7,145909627,1171,820,319,88
8,145909464,1217,863,377,104
9,145909292,1268,906,438,121
10,145909111,1323,950,502,139
11,145908922,1380,996,569,158
12,145908723,1441,1044,640,177
13,145908515,1505,1094,714,197
14,145908297,1573,1145,792,218
15,145908069,1644,1199,873,240
16,145907830,1719,1255,958,263
17,145907580,1798,1312,1047,288
18,145907318,1881,1372,1140,314
19,145907044,1967,1435,1238,341
20,145906758,2057,1501,1340,369
21,145906458,2152,1569,1447,399
22,145906145,2250,1641,1559,430
23,145905817,2353,1717,1676,462
24,145905474,2461,1796,1798,496
25,145905115,2574,1879,1926,531
26,145904740,2692,1965,2060,568
27,145904348,2815,2055,2200,607
28,145903938,2944,2149,2346,648
29,145903509,3079,2248,2499,690
30,145903060,3221,2351,2659,734
31,145902590,3369,2459,2826,781
32,145902099,3524,2571,3001,830
33,145901585,3686,2689,3184,881
34,145901048,3855,2812,3376,934
35,145900486,4032,2941,3576,990
36,145899898,4217,3076,3786,1048
37,145899283,4411,3217,4005,1109
38,145898640,4613,3365,4234,1173
39,145897968,4824,3519,4474,1240
40,145897265,5045,3680,4725,1310
41,145896530,5276,3849,4987,1383
42,145895761,5518,4026,5261,1459
43,145894956,5772,4210,5548,1539
44,145894115,6036,4403,5848,1623
45,145893235,6313,4604,6162,1711
46,145892315,6602,4815,6490,1803
47,145891353,6904,5036,6833,1899
48,145890346,7221,5267,7192,1999
49,145889293,7552,5508,7568,2104
50,145888192,7898,5760,7961,2214
51,145887041,8260,6023,8372,2329
52,145885837,8638,6299,8802,2449
53,145884578,9034,6588,9251,2574
54,145883261,9448,6890,9721,2705
55,145881884,9881,7205,10213,2842
56,145880444,10333,7535,10727,2986
57,145878938,10806,7880,11265,3136
58,145877363,11301,8241,11827,3293
59,145875716,11818,8619,12415,3457
60,145873993,12360,9013,13030,3629
61,145872191,12926,9426,13673,3809
62,145870307,13518,9857,14346,3997
63,145868337,14137,10307,15050,4194
64,145866277,14784,10778,15786,4400
65,145864123,15460,11272,16555,4615
66,145861870,16167,11788,17360,4840
67,145859514,16907,12327,18202,5075
68,145857050,17681,12891,19082,5321
69,145854473,18490,13482,20002,5578
70,145851778,19336,14099,20965,5847
71,145848960,20221,14744,21972,6128
72,145846013,21146,15419,23025,6422
73,145842931,22114,16124,24126,6730
74,145839708,23126,16862,25277,7052
75,145836338,24184,17633,26481,7389
76,145832814,25290,18440,27740,7741
77,145829129,26446,19284,29057,8109
78,145825275,27656,20166,30434,8494
79,145821245,28921,21088,31874,8897
80,145817031,30243,22053,33380,9318
81,145812624,31626,23061,34955,9759
82,145808015,33073,24115,36602,10220
83,145803196,34585,25218,38324,10702
84,145798157,36166,26371,40125,11206
85,145792887,37820,27577,42008,11733
86,145787377,39548,28839,43977,12284
87,145781615,41356,30158,46036,12860
88,145775589,43247,31536,48190,13463
89,145769288,45224,32978,50442,14093
90,145762699,47291,34486,52797,14752
91,145755809,49452,36063,55260,15441
92,145748605,51711,37712,57835,16162
93,145741072,54073,39436,60528,16916
94,145733195,56543,41239,63344,17704
95,145724958,59126,43124,66289,18528
96,145716345,61827,45094,69369,19390
97,145707339,64651,47154,72590,20291
98,145697922,67603,49308,75958,21234
99,145688075,70690,51560,79480,22220
100,145677779,73917,53916,83162,23251
101,145667014,77291,56378,87013,24329
102,145655758,80818,58953,91040,25456
103,145643989,84506,61645,95250,26635
104,145631683,88362,64460,99653,27867
105,145618816,92393,67403,104257,29156
106,145605363,96607,70480,109071,30504
107,145591297,101013,73697,114105,31913
108,145576590,105619,77061,119369,33386
109,145561214,110434,80577,124873,34927
110,145545138,115467,84254,130628,36538
111,145528330,120729,88097,136646,38223
112,145510757,126230,92116,142938,39984
113,145492385,131979,96318,149517,41826
114,145473177,137990,100710,156396,43752
115,145453096,144272,105302,163589,45766
116,145432102,150839,110102,171110,47872
117,145410155,157703,115119,178974,50074
118,145387211,164877,120365,187196,52376
119,145363225,172376,125848,195793,54783
120,145338151,180213,131580,204782,57299
121,145311939,188404,137572,214180,59930
122,145284538,196965,143835,224006,62681
123,145255895,205912,150382,234279,65557
124,145225954,215262,157225,245020,68564
125,145194657,225033,164377,256250,71708
126,145161944,235243,171852,267991,74995
127,145127751,245912,179664,280266,78432
128,145092012,257060,187829,293099,82025
129,145054658,268708,196363,306515,85781
130,145015617,280879,205281,320540,89708
131,144974814,293595,214601,335202,93813
132,144932170,306880,224340,350530,98105
133,144887604,320758,234518,366554,102591
134,144841030,335257,245152,383305,107281
135,144792360,350402,256264,400815,112184
136,144741501,366221,267875,419119,117309
137,144688356,382744,280007,438252,122666
138,144632825,400001,292681,458252,128266
139,144574802,418024,305923,479157,134119
140,144514179,436845,319756,501008,140237
141,144450841,456499,334206,523847,146632
142,144384670,477021,349300,547718,153316
143,144315542,498447,365066,572668,160302
144,144243328,520817,381533,598744,167603
145,144167895,544169,398732,625996,175233
146,144089102,568546,416694,654476,183207
147,144006805,593989,435452,684239,191540
148,143920852,620544,455038,715342,200249
149,143831087,648255,475490,747844,209349
