Day,Susceptible,Exposed,Infected,Recovered,Deaths
1,331001052,999,555,35,10
2,331000942,1010,604,74,21
3,331000822,1029,650,117,33
4,331000693,1056,693,163,46
5,331000555,1089,736,212,59
6,331000408,1128,778,264,73
7,331000253,1171,820,319,88
8,331000090,1217,863,377,104
9,330999918,1268,906,438,121
10,330999737,1323,950,502,139
11,330999548,1380,996,569,158
12,330999349,1441,1044,640,177
13,330999141,1505,1094,714,197
14,330998923,1573,1145,792,218
15,330998695,1644,1199,873,240
16,330998456,1719,1255,958,263
17,330998206,1798,1312,1047,288
18,330997944,1881,1372,1140,314
19,330997670,1967,1435,1238,341
20,330997384,2057,1501,1340,369
21,330997084,2152,1569,1447,399
22,330996771,2250,1641,1559,430
23,330996443,2353,1717,1676,462
24,330996100,2461,1796,1798,496
25,330995741,2574,1879,1926,531
26,330995366,2692,1965,2060,568
27,330994974,2815,2055,2200,607
28,330994564,2944,2149,2346,648
29,330994135,3079,2248,2499,690
30,330993686,3221,2351,2659,734
31,330993216,3369,2459,2826,781
32,330992725,3524,2571,3001,830
33,330992211,3686,2689,3184,881
34,330991674,3855,2812,3376,934
35,330991112,4032,2941,3576,990
36,330990524,4217,3076,3786,1048
37,330989909,4411,3217,4005,1109
38,330989266,4613,3365,4234,1173
39,330988594,4824,3519,4474,1240
40,330987891,5045,3680,4725,1310
41,330987156,5276,3849,4987,1383
42,330986387,5518,4026,5261,1459
43,330985582,5772,4210,5548,1539
44,330984741,6036,4403,5848,1623
45,330983861,6313,4604,6162,1711
46,330982941,6602,4815,6490,1803
47,330981979,6904,5036,6833,1899
48,330980972,7221,5267,7192,1999
49,330979919,7552,5508,7568,2104
50,330978818,7898,5760,7961,2214
51,330977667,8260,6023,8372,2329
52,330976463,8638,6299,8802,2449
53,330975204,9034,6588,9251,2574
54,330973887,9448,6890,9721,2705
55,330972510,9881,7205,10213,2842
56,330971070,10333,7535,10727,2986
57,330969564,10806,7880,11265,3136
58,330967989,11301,8241,11827,3293
59,330966341,11819,8619,12415,3457
60,330964618,12361,9013,13030,3629
61,330962816,12927,9426,13673,3809
62,330960932,13519,9857,14346,3997
63,330958961,14139,10307,15050,4194
64,330956900,14787,10778,15786,4400
65,330954745,15464,11272,16555,4615
66,330952491,16172,11788,17360,4840
67,330950134,16912,12328,18202,5075
68,330947669,17686,12893,19082,5321
69,330945091,18496,13484,20002,5578
70,330942395,19343,14101,20965,5847
71,330939576,20228,14746,21972,6129
72,330936628,21154,15421,23025,6423
73,330933545,22122,16127,24126,6731
74,330930321,23134,16866,25277,7053
75,330926949,24193,17638,26481,7390
76,330923423,25300,18446,27740,7742
77,330919735,26458,19291,29057,8110
78,330915878,27670,20174,30434,8495
79,330911845,28936,21097,31875,8898
80,330907627,30261,22063,33381,9319
81,330903216,31646,23073,34956,9760
82,330898603,33095,24128,36604,10221
83,330893779,34610,25232,38327,10703
84,330888735,36193,26387,40129,11207
85,330883460,37849,27595,42013,11734
86,330877943,39582,28857,43984,12285
87,330872174,41393,30177,46045,12862
88,330866141,43287,31558,48200,13465
89,330859833,45267,33001,50454,14096
90,330853236,47338,34510,52811,14756
91,330846338,49503,36088,55276,15446
92,330839124,51767,37740,57853,16167
93,330831580,54135,39467,60548,16921
94,330823691,56611,41272,63367,17710
95,330815442,59199,43160,66315,18535
96,330806815,61907,45134,69397,19398
97,330797794,64738,47199,72620,20300
98,330788361,67698,49358,75991,21243
99,330778496,70794,51615,79516,22230
100,330768180,74031,53976,83202,23262
101,330757393,77415,56445,87057,24341
102,330746113,80954,59027,91088,25469
103,330734317,84655,61726,95304,26649
104,330721982,88525,64548,99713,27883
105,330709084,92571,67500,104323,29173
106,330695596,96802,70586,109144,30523
107,330681492,101226,73814,114185,31934
108,330666744,105852,77188,119457,33410
109,330651323,110688,80717,124970,34953
110,330635197,115746,84406,130735,36567
111,330618335,121034,88263,136764,38255
112,330600703,126563,92297,143068,40020
113,330582267,132343,96516,149660,41865
114,330562989,138387,100926,156554,43795
115,330542831,144707,105537,163763,45813
116,330521753,151315,110359,171301,47923
117,330499714,158223,115401,179183,50130
118,330476669,165446,120673,187425,52438
119,330452573,172998,126185,196044,54851
120,330427378,180894,131948,205057,57374
121,330401035,189148,137975,214481,60012
122,330373491,197778,144275,224336,62771
123,330344691,206801,150862,234641,65656
124,330314579,216233,157750,245416,68673
125,330283095,226094,164951,256683,71828
126,330250177,236403,172479,268465,75127
127,330215760,247180,180351,280784,78576
128,330179776,258446,188580,293666,82183
129,330142154,270224,197183,307136,85954
130,330102820,282536,206178,321220,89897
131,330061697,295406,215581,335947,94020
132,330018704,308859,225412,351345,98331
133,329973756,322922,235689,367445,102839
134,329926765,337621,246434,384279,107552
135,329877639,352985,257666,401881,112480
136,329826281,369045,269407,420285,117633
137,329772592,385830,281680,439528,123021
138,329716466,403373,294510,459648,128654
139,329657793,421709,307921,480684,134544
140,329596460,440872,321939,502678,140702
141,329532346,460899,336593,525673,147140
142,329465327,481829,351909,549715,153871
143,329395273,503701,367917,574851,160909
144,329322047,526557,384650,601130,168267
145,329245508,550441,402137,628605,175960
146,329165508,575397,420415,657329,184002
147,329081892,601474,439517,687358,192410
148,328994499,628720,459480,718752,201200
149,328903161,657186,480343,751572,210389
150,328807702,686927,502145,785882,219995
151,328707939,717998,524928,821749,230037
152,328603682,750456,548735,859243,240535
153,328494731,784362,573611,898438,251509
154,328380879,819778,599603,939410,262981
155,328261909,856771,626760,982238,274973
156,328137595,895408,655134,1027006,287508
157,328007703,935760,684777,1073801,300610
158,327871987,977900,715746,1122713,314305
159,327730192,1021905,748098,1173837,328619
160,327582052,1067855,781892,1227272,343580
161,327427290,1115832,817191,1283121,359217
162,327265618,1165921,854061,1341491,375560
163,327096735,1218212,892568,1402495,392641
164,326920328,1272798,932784,1466249,410492
165,326736073,1329774,974781,1532876,429147
166,326543630,1389240,1018636,1602503,448642
167,326342648,1451298,1064429,1675262,469014
168,326132760,1516057,1112240,1751292,490302
169,325913585,1583627,1162156,1830737,512546
170,325684728,1654122,1214264,1913748,535789
171,325445777,1727661,1268658,2000481,560074
172,325196306,1804366,1325433,2091099,585447
173,324935870,1884366,1384688,2185772,611955
174,324664009,1967791,1446525,2284678,639648
175,324380245,2054776,1511051,2388001,668578
176,324084082,2145462,1578375,2495933,698799
177,323775006,2239992,1648613,2608674,730366
178,323452484,2338515,1721882,2726432,763338
179,323115963,2441185,1798305,2849423,797775
180,322764872,2548158,1878007,2977873,833741
181,322398619,2659596,1961119,3112016,871301
182,322016591,2775665,2047777,3252095,910523
183,321618155,2896535,2138119,3398364,951478
184,321202656,3022381,2232288,3551086,994240
185,320769417,3153382,2330432,3710535,1038885
186,320317741,3289720,2432703,3876994,1085493
187,319846907,3431582,2539257,4050758,1134147
188,319356172,3579159,2650255,4232133,1184932
189,318844772,3732644,2765862,4421436,1237937
190,318311918,3892234,2886248,4618997,1293254
191,317756801,4058128,3011587,4825157,1350978
192,317178587,4230530,3142055,5040270,1411209
193,316576422,4409642,3277835,5264702,1474050
194,315949427,4595673,3419112,5498833,1539606
195,315296704,4788829,3566075,5743055,1607988
196,314617331,4989320,3718917,5997774,1679309
197,313910367,5197352,3877835,6263410,1753687
198,313174849,5413135,4043026,6540398,1831243
199,312409796,5636875,4214692,6829185,1912103
