Date,Susceptible,Exposed,Infected,Recovered,Deaths
2020-01-22,83992949.0,4199647.45,0,0,0
2020-01-23,83992949.0,4199647.45,0,0,0
2020-01-24,83992949.0,4199647.45,0,0,0
2020-01-25,83992949.0,4199647.45,0,0,0
2020-01-26,83992949.0,4199647.45,0,0,0
2020-01-27,83992949.0,4199647.45,0,0,0
2020-01-28,83992949.0,4199647.45,0,0,0
2020-01-29,83992949.0,4199647.45,0,0,0
2020-01-30,83992949.0,4199647.45,0,0,0
2020-01-31,83992949.0,4199647.45,0,0,0
2020-02-01,83992949.0,4199647.45,0,0,0
2020-02-02,83992949.0,4199647.45,0,0,0
2020-02-03,83992949.0,4199647.45,0,0,0
2020-02-04,83992949.0,4199647.45,0,0,0
2020-02-05,83992949.0,4199647.45,0,0,0
2020-02-06,83992949.0,4199647.45,0,0,0
2020-02-07,83992949.0,4199647.45,0,0,0
2020-02-08,83992949.0,4199647.45,0,0,0
2020-02-09,83992949.0,4199647.45,0,0,0
2020-02-10,83992949.0,4199647.45,0,0,0
2020-02-11,83992949.0,4199647.45,0,0,0
2020-02-12,83992949.0,4199647.45,0,0,0
2020-02-13,83992949.0,4199647.45,0,0,0
2020-02-14,83992949.0,4199647.45,0,0,0
2020-02-15,83992949.0,4199647.45,0,0,0
2020-02-16,83992949.0,4199647.45,0,0,0
2020-02-17,83992949.0,4199647.45,0,0,0
2020-02-18,83992949.0,4199647.45,0,0,0
2020-02-19,83992947.0,4199647.350000001,0,0,2
2020-02-20,83992944.0,4199647.2,3,0,2
2020-02-21,83992931.0,4199646.55,14,0,4
2020-02-22,83992921.0,4199646.05,23,0,5
2020-02-23,83992906.0,4199645.3,35,0,8
2020-02-24,83992888.0,4199644.4,49,0,12
2020-02-25,83992854.0,4199642.7,79,0,16
2020-02-26,83992810.0,4199640.5,71,49,19
2020-02-27,83992704.0,4199635.2,170,49,26
2020-02-28,83992561.0,4199628.05,281,73,34
2020-02-29,83992356.0,4199617.8,427,123,43
2020-03-01,83991971.0,4199598.55,749,175,54
2020-03-02,83991448.0,4199572.4,1144,291,66
2020-03-03,83990613.0,4199530.65,1968,291,77
2020-03-04,83990027.0,4199501.350000001,2278,552,92
2020-03-05,83989436.0,4199471.8,2667,739,107
2020-03-06,83988202.0,4199410.100000001,3710,913,124
2020-03-07,83987126.0,4199356.3,4009,1669,145
2020-03-08,83986383.0,4199319.15,4238,2134,194
2020-03-09,83985788.0,4199289.4,4530,2394,237
2020-03-10,83984907.0,4199245.350000001,5020,2731,291
2020-03-11,83983949.0,4199197.45,5687,2959,354
2020-03-12,83982874.0,4199143.7,6687,2959,429
2020-03-13,83981585.0,4199079.25,7891,2959,514
2020-03-14,83980220.0,4199011.0,9159,2959,611
2020-03-15,83979011.0,4198950.55,8624,4590,724
2020-03-16,83977958.0,4198897.9,9548,4590,853
2020-03-17,83976780.0,4198839.0,9792,5389,988
