Day,Susceptible,Infected,Recovered,Deaths
1,145911426,554,35,10
2,145911316,614,74,21
3,145911194,681,117,33
4,145911058,756,165,46
5,145910907,838,219,61
6,145910740,930,278,77
7,145910555,1031,344,95
8,145910349,1144,417,115
9,145910121,1269,498,137
10,145909868,1407,588,162
11,145909587,1560,688,190
12,145909276,1729,799,221
13,145908931,1917,922,255
14,145908548,2126,1058,293
15,145908123,2358,1209,335
16,145907652,2614,1377,382
17,145907130,2898,1563,434
18,145906551,3213,1770,491
19,145905909,3562,1999,555
20,145905197,3949,2253,626
21,145904408,4378,2535,704
22,145903533,4854,2847,791
23,145902563,5381,3193,888
24,145901487,5966,3577,995
25,145900294,6614,4003,1114
26,145898972,7332,4475,1246
27,145897506,8129,4998,1392
28,145895881,9012,5578,1554
29,145894079,9991,6221,1734
30,145892082,11076,6934,1933
31,145889868,12278,7725,2154
32,145887413,13611,8602,2399
33,145884692,15088,9574,2671
34,145881675,16727,10651,2972
35,145878331,18543,11845,3306
36,145874624,20556,13169,3676
37,145870514,22787,14637,4087
38,145865958,25261,16264,4542
39,145860908,28002,18068,5047
40,145855310,31040,20068,5607
41,145849105,34408,22285,6227
42,145842227,38141,24742,6915
43,145834603,42279,27466,7677
44,145826152,46866,30485,8522
45,145816785,51949,33832,9459
46,145806402,57584,37542,10497
47,145794894,63828,41655,11648
48,145782139,70748,46214,12924
49,145768002,78418,51267,14338
50,145752334,86917,56868,15906
51,145734970,96335,63076,17644
52,145715727,106771,69957,19570
53,145694402,118335,77583,21705
54,145670771,131148,86035,24071
55,145644585,145345,95402,26693
56,145615570,161073,105783,29599
57,145583421,178496,117288,32820
58,145547803,197796,130037,36389
59,145508343,219173,144165,40344
60,145464630,242848,159820,44727
61,145416210,269066,177166,49583
62,145362580,298096,196385,54964
63,145303186,330237,217677,60925
64,145237415,365816,241265,67529
65,145164591,405195,267394,74845
66,145083968,448773,296336,82948
67,144994723,496988,328391,91923
68,144895951,550322,363890,101862
69,144786654,609305,403198,112868
70,144665733,674519,446719,125054
71,144531982,746601,494898,138544
72,144384075,826248,548226,153476
73,144220556,914226,607243,170000
74,144039831,1011366,672544,188284
75,143840154,1118576,744784,208511
76,143619616,1236845,824682,230882
77,143376134,1367245,913028,255618
78,143107438,1510937,1010688,282962
79,142811059,1669174,1118612,313180
80,142484319,1843305,1237838,346563
81,142124319,2034775,1369502,383429
82,141727929,2245129,1514843,424124
83,141291780,2476010,1675209,469026
84,140812259,2729154,1852066,518546
85,140285506,3006385,2047005,573129
86,139707415,3309608,2261746,633256
87,139073641,3640790,2498146,699448
88,138379610,4001950,2758202,772263
89,137620539,4395129,3044055,852302
90,136791465,4822364,3357992,940204
91,135887279,5285649,3702446,1036651
92,134902779,5786891,4079992,1142363
93,133832727,6327857,4493341,1258100
94,132671926,6910112,4945330,1384657
95,131415309,7534948,5438909,1522859
96,130058043,8203306,5977119,1673557
97,128595647,8915686,6563069,1837623
98,127024127,9672059,7199903,2015936
99,125340120,10471764,7890764,2209377
100,123541047,11313419,8638747,2418812
101,121625274,12194823,9446848,2645080
102,119592270,13112873,10317906,2888976
103,117442758,14063495,11254539,3151233
104,115178852,15041597,12259074,3432502
105,112804170,16041049,13333473,3733333
106,110323913,17054697,14479262,4054153
107,107744906,18074419,15697454,4395246
108,105075590,19091218,16988483,4756734
109,102325960,20095366,18352141,5138558
110,99507443,21076593,19787524,5540465
111,96632728,22024307,21292994,5961996
112,93715534,22927851,22866158,6402482
113,90770341,23776784,24503861,6861039
114,87812084,24561165,26202202,7336574
115,84855828,25271830,27956570,7827797
116,81916438,25900654,29761700,8333233
117,79008262,26440771,31611746,8851246
118,76144839,26886753,33500372,9380061
119,73338645,27234730,35420854,9917796
120,70600889,27482455,37366191,10462490
121,67941361,27629302,39329223,11012139
122,65368342,27676214,41302744,11564725
123,62888563,27625597,43279616,12118249
124,60507219,27481174,45252872,12670760
125,58228025,27247804,47215813,13220383
126,56053310,26931292,49162084,13765339
127,53984135,26538179,51085747,14303964
128,52020431,26075536,52981331,14834727
129,50161146,25550773,54843869,15356237
130,48404395,24971454,56668924,15867252
131,46747605,24345140,58452599,16366681
132,45187656,23679249,60191537,16853583
133,43721006,22980941,61882911,17327167
134,42343807,22257027,63524406,17786785
135,41052005,21513902,65114193,18231925
136,39841428,20757494,66650900,18662203
137,38707857,19993238,68133578,19077352
138,37647088,19226055,69561666,19477216
139,36654977,18460356,70934955,19861737
140,35727482,17700048,72253551,20230944
141,34860689,16948552,73517840,20584944
142,34050834,16208826,74728450,20923915
143,33294318,15483393,75886223,21248091
144,32587716,14774372,76992179,21557758
145,31927780,14083509,78047491,21853245
146,31311443,13412212,79053455,22134915
147,30735815,12761581,80011470,22403159
148,30198180,12132444,80923011,22658390
149,29695991,11525382,81789614,22901038
150,29226863,10940762,82612855,23131545
151,28788566,10378761,83394338,23350360
152,28379019,9839393,84135678,23557935
153,27996279,9322533,84838491,23754722
154,27638535,8827932,85504386,23941172
155,27304100,8355243,86134952,24117730
156,26991402,7904034,86731755,24284834
157,26698978,7473805,87296328,24442914
158,26425467,7063997,87830171,24592390
159,26169602,6674012,88334742,24733669
160,25930203,6303216,88811457,24867149
161,25706173,5950953,89261686,24993213
162,25496491,5616548,89686754,25112232
163,25300206,5299321,90087936,25224562
164,25116433,4998586,90466458,25330548
165,24944348,4713659,90823499,25430519
166,24783184,4443861,91160188,25524792
167,24632226,4188524,91477606,25613669
168,24490809,3946991,91776786,25697439
169,24358312,3718622,92058713,25776378
170,24234156,3502791,92324328,25850750
171,24117803,3298890,92574527,25920805
172,24008749,3106332,92810162,25986782
173,23906525,2924550,93032042,26048908
174,23810693,2752995,93240938,26107399
175,23720844,2591143,93437580,26162458
176,23636596,2438488,93622661,26214280
177,23557593,2294545,93796838,26263049
178,23483502,2158850,93960734,26308939
179,23414012,2030960,94114937,26352116
180,23348832,1910453,94260005,26392735
181,23287690,1796926,94396465,26430944
182,23230332,1689995,94524816,26466882
183,23176520,1589295,94645529,26500681
184,23126032,1494477,94759050,26532466
185,23078660,1405212,94865798,26562355
186,23034208,1321188,94966170,26590459
187,22992495,1242108,95060540,26616882
188,22953350,1167689,95149262,26641724
189,22916613,1097667,95232668,26665077
190,22882134,1031789,95311072,26687030
191,22849773,969816,95384771,26707665
192,22819399,911522,95454043,26727061
193,22790889,856694,95519151,26745291
194,22764127,805131,95580343,26762424
195,22739005,756642,95637852,26778526
196,22715422,711048,95691897,26793658
197,22693283,668178,95742686,26807878
198,22672500,627871,95790413,26821241
199,22652988,589979,95835260,26833798
200,22634670,554357,95877401,26845597
201,22617472,520872,95916997,26856684
202,22601325,489397,95954202,26867101
203,22586164,459815,95989158,26876888
204,22571929,432011,96022001,26886084
205,22558563,405880,96052858,26894724
206,22546013,381322,96081849,26902841
207,22534229,358243,96109086,26910467
208,22523164,336556,96134674,26917631
209,22512774,316176,96158713,26924362
210,22503018,297025,96181297,26930685
211,22493857,279030,96202513,26936625
212,22485254,262123,96222443,26942205
213,22477176,246236,96241166,26947447
214,22469590,231310,96258754,26952371
215,22462466,217286,96275276,26956997
216,22455776,204111,96290796,26961342
217,22449494,191732,96305375,26965424
218,22443595,180102,96319070,26969258
219,22438055,169176,96331934,26972860
220,22432852,158912,96344018,26976243
221,22427966,149270,96355368,26979421
222,22423378,140211,96366030,26982406
223,22419069,131701,96376045,26985210
224,22415022,123707,96385452,26987844
225,22411222,116197,96394288,26990318
226,22407653,109144,96402587,26992641
227,22404301,102518,96410383,26994823
228,22401153,96294,96417705,26996873
229,22398197,90447,96424583,26998798
230,22395421,84955,96431043,27000606
231,22392814,79795,96437111,27002305
232,22390365,74950,96442810,27003900
233,22388065,70398,96448163,27005399
234,22385905,66123,96453191,27006806
235,22383877,62106,96457914,27008128
236,22381972,58333,96462350,27009370
237,22380183,54790,96466516,27010536
238,22378503,51462,96470429,27011631
239,22376925,48336,96474104,27012660
240,22375443,45400,96477556,27013626
241,22374051,42642,96480798,27014534
242,22372744,40052,96483843,27015386
243,22371516,37619,96486703,27016187
244,22370363,35333,96489390,27016939
245,22369280,33187,96491913,27017645
246,22368263,31171,96494283,27018308
247,22367308,29277,96496509,27018931
248,22366411,27498,96498600,27019516
249,22365568,25828,96500564,27020065
250,22364777,24259,96502408,27020581
251,22364034,22785,96504140,27021066
252,22363336,21401,96505767,27021521
253,22362680,20101,96507295,27021949
254,22362064,18880,96508730,27022351
255,22361486,17733,96510078,27022728
256,22360943,16656,96511344,27023082
257,22360433,15644,96512533,27023415
258,22359954,14694,96513650,27023727
259,22359504,13802,96514699,27024020
260,22359081,12964,96515684,27024296
261,22358684,12176,96516610,27024555
262,22358311,11437,96517479,27024798
263,22357961,10743,96518295,27025026
264,22357632,10091,96519062,27025240
265,22357323,9479,96519782,27025441
266,22357033,8903,96520459,27025630
267,22356761,8362,96521094,27025808
268,22356505,7854,96521691,27025975
269,22356265,7376,96522252,27026132
270,22356039,6929,96522778,27026279
271,22355827,6509,96523272,27026417
272,22355628,6114,96523736,27026547
273,22355441,5743,96524172,27026669
274,22355266,5394,96524582,27026783
275,22355101,5067,96524967,27026890
276,22354946,4760,96525328,27026991
277,22354801,4470,96525668,27027086
