Day,Susceptible,Infected,Recovered,Deaths
1,331002052,554,35,10
2,331001942,614,74,21
3,331001820,681,117,33
4,331001684,756,165,46
5,331001533,838,219,61
6,331001366,930,278,77
7,331001181,1031,344,95
8,331000975,1144,417,115
9,331000747,1269,498,137
10,331000494,1407,588,162
11,331000213,1560,688,190
12,330999902,1729,799,221
13,330999557,1917,922,255
14,330999174,2126,1058,293
15,330998749,2358,1209,335
16,330998278,2614,1377,382
17,330997756,2898,1563,434
18,330997177,3213,1770,491
19,330996535,3562,1999,555
20,330995823,3949,2253,626
21,330995034,4378,2535,704
22,330994159,4854,2847,791
23,330993189,5381,3193,888
24,330992113,5966,3577,995
25,330990920,6614,4003,1114
26,330989598,7332,4475,1246
27,330988132,8129,4998,1392
28,330986507,9012,5578,1554
29,330984705,9991,6221,1734
30,330982707,11077,6934,1933
31,330980492,12280,7725,2154
32,330978037,13613,8602,2399
33,330975315,15091,9574,2671
34,330972298,16730,10651,2972
35,330968953,18546,11846,3306
36,330965245,20560,13170,3676
37,330961134,22792,14638,4087
38,330956577,25266,16266,4542
39,330951525,28009,18070,5047
40,330945925,31049,20070,5607
41,330939717,34420,22287,6227
42,330932835,38156,24745,6915
43,330925206,42297,27470,7678
44,330916749,46888,30491,8523
45,330907374,51977,33840,9460
46,330896982,57618,37552,10499
47,330885463,63870,41667,11651
48,330872694,70800,46229,12928
49,330858540,78481,51286,14344
50,330842851,86996,56891,15913
51,330825461,96433,63105,17652
52,330806185,106893,69993,19580
53,330784820,118486,77628,21717
54,330761139,131335,86091,24086
55,330734892,145575,95472,26712
56,330705801,161357,105870,29623
57,330673559,178847,117395,32850
58,330637826,198230,130169,36426
59,330598224,219709,144328,40390
60,330554336,243510,160021,44784
61,330505700,269883,177414,49654
62,330451805,299104,196691,55051
63,330392084,331479,218055,61033
64,330325911,367346,241732,67662
65,330252593,407079,267971,75008
66,330171362,451092,297048,83149
67,330081371,499842,329268,92170
68,329981681,553833,364971,102166
69,329871257,613622,404530,113242
70,329748953,679824,448360,125514
71,329613504,753119,496918,139110
72,329463513,834254,550712,154172
73,329297439,924054,610301,170857
74,329113581,1023428,676304,189338
75,328910064,1133375,749406,209806
76,328684823,1254994,830361,232473
77,328435582,1389494,920003,257572
78,328159839,1538199,1019252,285361
79,327854842,1702562,1129123,316124
80,327517568,1884174,1250734,350175
81,327144701,2084775,1385317,387858
82,326732606,2306263,1534229,429553
83,326277304,2550707,1698962,475678
84,325774446,2820358,1881155,526692
85,325219284,3117659,2082609,583099
86,324606647,3445254,2305298,645452
87,323930911,3805996,2551387,714357
88,323185975,4202957,2823243,790476
89,322365235,4639427,3123454,874535
90,321461563,5118924,3454841,967323
91,320467289,5645183,3820478,1069701
92,319374189,6222153,4223705,1182604
93,318173477,6853983,4668144,1307047
94,316855811,7545000,5157714,1444126
95,315411305,8299678,5696642,1595026
96,313829558,9122598,6289476,1761019
97,312099699,10018392,6941090,1943470
98,310210447,10991678,7656689,2143837
99,308150202,12046971,8441808,2363670
100,305907153,13188584,9302305,2604609
101,303469419,14420506,10244346,2868380
102,300825222,15746257,11274382,3156790
103,297963088,17168734,12399114,3471715
104,294872087,18690023,13625452,3815089
105,291542104,20311205,14960453,4188889
106,287964144,22032141,16411253,4595113
107,284130661,23851258,17984977,5035755
108,280035907,25765326,19688638,5512780
109,275676295,27769252,21529018,6028086
110,271050759,29855885,23512536,6583471
111,266161095,32015869,25645099,7180588
112,261012267,34237533,27931946,7820905
113,255612664,36506848,30377484,8505655
114,249974273,38807471,32985116,9235791
115,244112768,41120865,35757078,10011940
116,238047483,43426529,38694282,10834357
117,231801264,45702324,41796176,11702887
118,225400194,47924897,45060627,12616933
119,218873189,50070199,48483833,13575430
120,212251476,52114067,52060275,14576833
121,205567973,54032856,55782708,15619114
122,198856592,55804091,59642197,16699771
123,192151503,57407093,63628203,17815852
124,185486385,58823564,67728709,18963993
125,178893707,60038088,71930392,20140464
126,172404070,61038530,76218826,21341225
