Day,Susceptible,Infected,Recovered,Vaccinated
1,145181869,564,35,729557
2,144455848,636,75,1455466
3,143733444,716,120,2177745
4,143014636,806,171,2896412
5,142299406,906,228,3611485
6,141587733,1018,292,4322982
7,140879598,1143,364,5030920
8,140174981,1282,445,5735317
9,139473861,1437,536,6436191
10,138776218,1609,638,7133560
11,138082031,1801,752,7827441
12,137391281,2013,880,8517851
13,136703946,2249,1023,9204807
14,136020006,2510,1183,9888326
15,135339439,2798,1362,10568426
16,134662223,3118,1561,11245123
17,133988337,3471,1783,11918434
18,133317759,3861,2030,12588375
19,132650466,4291,2305,13254963
20,131986434,4765,2611,13918215
21,131325640,5287,2951,14578147
22,130668061,5861,3328,15234775
23,130013672,6492,3746,15888115
24,129362448,7185,4209,16538183
25,128714362,7946,4722,17184995
26,128069390,8780,5289,17828566
27,127427503,9694,5916,18468912
28,126788673,10695,6608,19106049
29,126152872,11790,7371,19739992
30,125520070,12986,8213,20370756
31,124890236,14293,9140,20998356
32,124263339,15719,10160,21622807
33,123639346,17274,11282,22244123
34,123018223,18968,12515,22862319
35,122399934,20812,13869,23477410
36,121784444,22817,15355,24089409
37,121171714,24996,16984,24698331
38,120561705,27362,18769,25304189
39,119954376,29929,20723,25906997
40,119349685,32712,22860,26506768
41,118747586,35727,25196,27103516
42,118148034,38991,27747,27697253
43,117550980,42520,30532,28287993
44,116956375,46334,33569,28875747
45,116364167,50452,36878,29460528
46,115774300,54896,40481,30042348
47,115186718,59686,44402,30621219
48,114601362,64846,48665,31197152
49,114018170,70401,53296,31770158
50,113437078,76375,58324,32340248
51,112858018,82795,63779,32907433
52,112280921,89689,69692,33471723
53,111705714,97086,76098,34033127
54,111132321,105017,83032,34591655
55,110560663,113513,90533,35147316
56,109990658,122607,98641,35700119
57,109422221,132334,107398,36250072
58,108855263,142729,116850,36797183
59,108289691,153831,127044,37341459
60,107725410,165677,138031,37882907
61,107162320,178306,149865,38421534
62,106600319,191760,162601,38957345
63,106039299,206082,176298,39490346
64,105479150,221315,191018,40020542
65,104919758,237504,206826,40547937
66,104361004,254696,223790,41072535
67,103802766,272937,241982,41594340
68,103244920,292275,261477,42113353
69,102687335,312760,282353,42629577
70,102129878,334441,304693,43143013
71,101572412,357370,328581,43653662
72,101014796,381598,354107,44161524
73,100456887,407177,381364,44666597
74,99898537,434159,410448,45168881
75,99339596,462597,441459,45668373
76,98779911,492543,474501,46165070
77,98219324,524050,509682,46658969
78,97657677,557169,547114,47150065
79,97094808,591953,586911,47638353
80,96530553,628452,629193,48123827
81,95964749,666715,674082,48606479
82,95397228,706791,721704,49086302
83,94827823,748725,772189,49563288
84,94256366,792563,825669,50037427
85,93682689,838348,882280,50508708
86,93106624,886118,942162,50977121
87,92528005,935910,1005456,51442654
88,91946667,987758,1072306,51905294
89,91362447,1041691,1142860,52365027
90,90775185,1097735,1217266,52821839
91,90184725,1155911,1295675,53275714
92,89590914,1216234,1378240,53726637
93,88993605,1278716,1465113,54174591
94,88392656,1343361,1556449,54619559
95,87787933,1410167,1652403,55061522
96,87179309,1479126,1753129,55500461
97,86566664,1550224,1858780,55936357
98,85949888,1623437,1969510,56369190
99,85328881,1698736,2085469,56798939
100,84703554,1776081,2206807,57225583
101,84073831,1855425,2333669,57649100
102,83439645,1936712,2466199,58069469
103,82800946,2019877,2604535,58486667
104,82157698,2104845,2748811,58900671
105,81509878,2191531,2899157,59311459
106,80857481,2279842,3055694,59719008
107,80200519,2369672,3218539,60123295
108,79539020,2460907,3387801,60524297
109,78873029,2553424,3563580,60921992
110,78202613,2647088,3745967,61316357
111,77527855,2741756,3935044,61707370
112,76848859,2837274,4130883,62095009
113,76165749,2933478,4333545,62479253
114,75478668,3030197,4543079,62860081
115,74787778,3127252,4759521,63237474
116,74093263,3224454,4982896,63611412
117,73395326,3321607,5213214,63981878
118,72694190,3418510,5450471,64348854
119,71990096,3514955,5694650,64712324
120,71283305,3610728,5945718,65072274
121,70574095,3705613,6203627,65428690
122,69862763,3799389,6468313,65781560
123,69149621,3891834,6739697,66130873
124,68434995,3982724,7017685,66476621
125,67719230,4071835,7302165,66818795
126,67002679,4158945,7593010,67157391
127,66285710,4243834,7890077,67492404
128,65568700,4326285,8193208,67823832
129,64852036,4406086,8502228,68151675
130,64136111,4483031,8816948,68475935
131,63421325,4556921,9137164,68796615
132,62708082,4627564,9462658,69113721
133,61996788,4694778,9793198,69427261
134,61287851,4758391,10128539,69737244
135,60581676,4818242,10468424,70043683
136,59878668,4874182,10812584,70346591
137,59179227,4926075,11160739,70645984
138,58483746,4973798,11512601,70941880
139,57792614,5017241,11867872,71234298
140,57106207,5056311,12226246,71523261
141,56424895,5090927,12587411,71808792
142,55749034,5121027,12951048,72090916
143,55078968,5146561,13316835,72369661
144,54415029,5167495,13684446,72645055
145,53757531,5183812,14053552,72917130
146,53106776,5195508,14423824,73185917
