Day,Susceptible,Infected,Recovered,Vaccinated
1,329347042,564,35,1655010
2,327700195,636,75,3301745
3,326061570,716,120,4940245
4,324431122,806,171,6570552
5,322808810,906,228,8192707
6,321194590,1018,292,9806751
7,319588421,1143,364,11412723
8,317990259,1282,445,13010665
9,316400062,1437,536,14600616
10,314817788,1609,638,16182616
11,313243394,1801,752,17756704
12,311676838,2013,880,19322920
13,310118075,2249,1023,20881304
14,308567064,2510,1183,22431894
15,307023762,2798,1362,23974729
16,305488125,3118,1561,25509847
17,303960110,3471,1783,27037287
18,302439673,3861,2030,28557087
19,300926770,4291,2305,30069285
20,299421357,4765,2611,31573918
21,297923389,5287,2951,33071024
22,296432822,5861,3328,34560640
23,294949609,6492,3746,36042804
24,293473705,7185,4209,37517552
25,292005063,7946,4722,38984920
26,290543637,8780,5289,40444945
27,289089378,9694,5916,41897663
28,287642239,10695,6608,43343109
29,286202170,11790,7371,44781320
30,284769122,12986,8213,46212330
31,283343043,14293,9140,47636175
32,281923881,15720,10160,49052890
33,280511585,17275,11282,50462509
34,279106101,18969,12515,51865066
35,277707373,20813,13869,53260596
36,276315345,22819,15355,54649132
37,274929960,24999,16984,56030708
38,273551159,27366,18769,57405357
39,272178881,29935,20723,58773112
40,270813064,32720,22861,60134006
41,269453645,35737,25198,61488071
42,268100559,39003,27750,62835339
43,266753739,42536,30535,64175841
44,265413116,46353,33573,65509609
45,264078618,50476,36883,66836674
46,262750171,54925,40488,68157067
47,261427702,59721,44411,69470817
48,260111131,64889,48676,70777955
49,258800378,70453,53310,72078510
50,257495361,76437,58342,73372511
51,256195993,82870,63801,74659987
52,254902186,89779,69720,75940966
53,253613849,97194,76132,77215476
54,252330887,105145,83074,78483545
55,251053203,113665,90584,79745199
56,249780695,122789,98702,81000465
57,248513261,132550,107472,82249368
58,247250792,142986,116939,83491934
59,245993178,154134,127152,84728187
60,244740304,166034,138161,85958152
61,243492051,178727,150020,87181853
62,242248296,192256,162786,88399313
63,241008915,206664,176518,89610554
64,239773776,221998,191279,90815598
65,238542746,238303,207136,92014466
66,237315686,255629,224157,93207179
67,236092453,274025,242416,94393757
68,234872901,293542,261989,95574219
69,233656879,314233,282956,96748583
70,232444232,336151,305401,97916867
71,231234800,359352,329411,99079088
72,230028419,383891,355079,100235262
73,228824921,409827,382499,101385404
74,227624134,437217,411772,102529528
75,226425881,466121,443001,103667648
76,225229981,496598,476295,104799777
77,224036251,528708,511766,105925926
78,222844500,562514,549530,107046107
79,221654537,598076,589709,108160329
80,220466166,635456,632428,109268601
81,219279187,674716,677817,110370931
82,218093397,715917,726011,111467326
83,216908590,759122,777147,112557792
84,215724557,804390,831370,113642334
85,214541086,851783,888826,114720956
86,213357964,901359,949667,115793661
87,212174976,953176,1014049,116860450
88,210991904,1007290,1082133,117921324
89,209808530,1063756,1154082,118976283
90,208624635,1122627,1230064,120025325
91,207439998,1183954,1310251,121068448
92,206254402,1247783,1394819,122105647
93,205067627,1314159,1483946,123136919
94,203879456,1383124,1577814,124162257
95,202689674,1454715,1676608,125181654
96,201498067,1528966,1780516,126195102
97,200304426,1605906,1889727,127202592
98,199108543,1685560,2004434,128204114
99,197910218,1767946,2124831,129199656
100,196709253,1853079,2251112,130189207
101,195505457,1940967,2383474,131172753
102,194298646,2031611,2522114,132150280
103,193088642,2125007,2667229,133121773
104,191875277,2221143,2819015,134087216
105,190658392,2319999,2977668,135046592
106,189437836,2421550,3143382,135999883
107,188213470,2525760,3316349,136947072
108,186985166,2632586,3496760,137888139
109,185752809,2741977,3684801,138823064
110,184516296,2853871,3880656,139751828
111,183275539,2968200,4084503,140674409
112,182030465,3084883,4296517,141590786
113,180781016,3203832,4516865,142500938
